cmdType,cmdSignature,text
text,114 2ème étage:EV0022:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0023:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0024:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0025:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0026:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0027:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0028:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0029:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0030:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0031:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0032:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0033:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0034:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0035:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0036:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0037:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0038:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0039:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0040:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0041:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0042:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0043:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0044:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0045:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0046:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0047:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0048:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0049:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0050:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0051:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0052:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0053:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0054:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0055:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0056:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0057:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0058:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0059:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0060:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0061:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0062:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0063:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0064:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0065:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0066:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0067:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0068:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0069:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0070:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0071:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0072:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0073:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0074:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0075:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0076:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0077:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0078:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0079:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0080:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0081:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0082:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0083:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0084:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0085:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0086:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0087:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0088:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0089:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0090:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0091:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0092:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0093:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0094:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0095:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0096:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0097:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0098:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0099:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0100:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0101:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0102:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0103:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0104:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0105:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0106:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0107:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0108:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0109:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0110:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0111:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0112:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0113:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0114:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0115:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0116:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0117:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0118:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0119:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0120:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0121:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0122:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0123:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0124:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0125:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0126:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0127:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0128:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0129:1:2,A Choleric Symbol has been found.
text,114 2ème étage:EV0131:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0132:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0133:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0134:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0135:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0136:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0137:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0138:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0139:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0140:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0141:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0142:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0143:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0144:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0145:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0146:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0147:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0148:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0149:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0150:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0151:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0152:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0153:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0154:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0155:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0156:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0157:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0158:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0159:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0160:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0161:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0162:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0163:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0164:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0165:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0166:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:EV0170:1:1,"These are fake shelves.
There's a visible base under the
real ones."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:2,"There is a book with a page
missing."
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:4,"Read book,Leave it be"
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:10,
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:16,"Read book,Insert page,Leave it be"
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:22,
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:35,The book has a page in it.
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:36,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:43,
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:54,The book has a page in it.
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:55,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:62,
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:75,The book has a page in it.
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:76,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:83,
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:94,The book has a page in it.
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:95,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:102,
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:115,The book has a page in it.
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:116,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:123,
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:134,The book has a page in it.
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:135,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:142,
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:155,The book has a page in it.
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:156,"Read book,Take page,Leave it be"
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:163,
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:174,The book has a page in it.
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:175,"Read book,Swap pages,Leave it be"
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:182,
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:1:193,"It is impossible that you should
read this message. If so, that means
there's a damn bug somewhere."
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:1,Everything's in order here.
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:2,"Read book,Leave it be"
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
text,114 2ème étage:livre 1:2:9,
item name,114:Acces Card:item,Access Card
item description,114:Acces Card:item,Permits access to Area 4 of Zone 3.
text,115 Est:EV0001:1:2,
text,115 Est:EV0002:1:1,"This barrier prevents me from passing.
I don't look anything like the locals."
text,115 Est:EV0003:1:1,"This barrier prevents me from passing.
I don't look anything like the locals."
text,115 Est:EV0004:1:1,"This barrier prevents me from passing.
I don't look anything like the locals."
